r_f_Dollar_A_Bk,r_f_Yen_Bk_A,r_f_Dollar_Bk_B,r_f_Yen_B_Bk
4.3,0.0,10.0,6.2
4.31,0.01,10.0,6.2
4.32,0.02,10.0,6.2
4.33,0.03,10.0,6.2
4.34,0.04,10.0,6.2
4.35,0.05,10.0,6.2
4.36,0.06,10.0,6.2
4.37,0.07,10.0,6.2
4.38,0.08,10.0,6.2
4.39,0.09,10.0,6.2
4.4,0.1,10.0,6.2
4.41,0.11,10.0,6.2
4.42,0.12,10.0,6.2
4.43,0.13,10.0,6.2
4.44,0.14,10.0,6.2
4.45,0.15,10.0,6.2
4.46,0.16,10.0,6.2
4.47,0.17,10.0,6.2
4.48,0.18,10.0,6.2
4.49,0.19,10.0,6.2
4.5,0.2,10.0,6.2
4.51,0.21,10.0,6.2
4.52,0.22,10.0,6.2
4.53,0.23,10.0,6.2
4.54,0.24,10.0,6.2
4.55,0.25,10.0,6.2
4.56,0.26,10.0,6.2
4.57,0.27,10.0,6.2
4.58,0.28,10.0,6.2
4.59,0.29,10.0,6.2
4.6,0.3,10.0,6.2
4.61,0.31,10.0,6.2
4.62,0.32,10.0,6.2
4.63,0.33,10.0,6.2
4.64,0.34,10.0,6.2
4.65,0.35,10.0,6.2
4.66,0.36,10.0,6.2
4.67,0.37,10.0,6.2
4.68,0.38,10.0,6.2
4.69,0.39,10.0,6.2
4.7,0.4,10.0,6.2
4.71,0.41,10.0,6.2
4.72,0.42,10.0,6.2
4.73,0.43,10.0,6.2
4.74,0.44,10.0,6.2
4.75,0.45,10.0,6.2
4.76,0.46,10.0,6.2
4.77,0.47,10.0,6.2
4.78,0.48,10.0,6.2
4.79,0.49,10.0,6.2
4.8,0.5,10.0,6.2
4.81,0.51,10.0,6.2
4.82,0.52,10.0,6.2
4.83,0.53,10.0,6.2
4.84,0.54,10.0,6.2
4.85,0.55,10.0,6.2
4.86,0.56,10.0,6.2
4.87,0.57,10.0,6.2
4.88,0.58,10.0,6.2
4.89,0.59,10.0,6.2
4.9,0.6,10.0,6.2
4.91,0.61,10.0,6.2
4.92,0.62,10.0,6.2
4.93,0.63,10.0,6.2
4.94,0.64,10.0,6.2
4.95,0.65,10.0,6.2
4.96,0.66,10.0,6.2
4.97,0.67,10.0,6.2
4.98,0.68,10.0,6.2
4.99,0.69,10.0,6.2
5.0,0.7,10.0,6.2
5.01,0.71,10.0,6.2
5.02,0.72,10.0,6.2
5.03,0.73,10.0,6.2
5.04,0.74,10.0,6.2
5.05,0.75,10.0,6.2
5.06,0.76,10.0,6.2
5.07,0.77,10.0,6.2
5.08,0.78,10.0,6.2
5.09,0.79,10.0,6.2
5.1,0.8,10.0,6.2
5.11,0.81,10.0,6.2
5.12,0.82,10.0,6.2
5.13,0.83,10.0,6.2
5.14,0.84,10.0,6.2
5.15,0.85,10.0,6.2
5.16,0.86,10.0,6.2
5.17,0.87,10.0,6.2
5.18,0.88,10.0,6.2
5.19,0.89,10.0,6.2
5.2,0.9,10.0,6.2
5.21,0.91,10.0,6.2
5.22,0.92,10.0,6.2
5.23,0.93,10.0,6.2
5.24,0.94,10.0,6.2
5.25,0.95,10.0,6.2
5.26,0.96,10.0,6.2
5.27,0.97,10.0,6.2
5.28,0.98,10.0,6.2
5.29,0.99,10.0,6.2
5.3,1.0,10.0,6.2
5.31,1.01,10.0,6.2
5.32,1.02,10.0,6.2
5.33,1.03,10.0,6.2
5.34,1.04,10.0,6.2
5.35,1.05,10.0,6.2
5.36,1.06,10.0,6.2
5.37,1.07,10.0,6.2
5.38,1.08,10.0,6.2
5.39,1.09,10.0,6.2
5.4,1.1,10.0,6.2
5.41,1.11,10.0,6.2
5.42,1.12,10.0,6.2
5.43,1.13,10.0,6.2
5.44,1.14,10.0,6.2
5.45,1.15,10.0,6.2
5.46,1.16,10.0,6.2
5.47,1.17,10.0,6.2
5.48,1.18,10.0,6.2
5.49,1.19,10.0,6.2
5.5,1.2,10.0,6.2
5.51,1.21,10.0,6.2
5.52,1.22,10.0,6.2
5.53,1.23,10.0,6.2
5.54,1.24,10.0,6.2
5.55,1.25,10.0,6.2
5.56,1.26,10.0,6.2
5.57,1.27,10.0,6.2
5.58,1.28,10.0,6.2
5.59,1.29,10.0,6.2
5.6,1.3,10.0,6.2
5.61,1.31,10.0,6.2
5.62,1.32,10.0,6.2
5.63,1.33,10.0,6.2
5.64,1.34,10.0,6.2
5.65,1.35,10.0,6.2
5.66,1.36,10.0,6.2
5.67,1.37,10.0,6.2
5.68,1.38,10.0,6.2
5.69,1.39,10.0,6.2
5.7,1.4,10.0,6.2
5.71,1.41,10.0,6.2
5.72,1.42,10.0,6.2
5.73,1.43,10.0,6.2
5.74,1.44,10.0,6.2
5.75,1.45,10.0,6.2
5.76,1.46,10.0,6.2
5.77,1.47,10.0,6.2
5.78,1.48,10.0,6.2
5.79,1.49,10.0,6.2
5.8,1.5,10.0,6.2
5.81,1.51,10.0,6.2
5.82,1.52,10.0,6.2
5.83,1.53,10.0,6.2
5.84,1.54,10.0,6.2
5.85,1.55,10.0,6.2
5.86,1.56,10.0,6.2
5.87,1.57,10.0,6.2
5.88,1.58,10.0,6.2
5.89,1.59,10.0,6.2
5.9,1.6,10.0,6.2
5.91,1.61,10.0,6.2
5.92,1.62,10.0,6.2
5.93,1.63,10.0,6.2
5.94,1.64,10.0,6.2
5.95,1.65,10.0,6.2
5.96,1.66,10.0,6.2
5.97,1.67,10.0,6.2
5.98,1.68,10.0,6.2
5.99,1.69,10.0,6.2
6.0,1.7,10.0,6.2
6.01,1.71,10.0,6.2
6.02,1.72,10.0,6.2
6.03,1.73,10.0,6.2
6.04,1.74,10.0,6.2
6.05,1.75,10.0,6.2
6.06,1.76,10.0,6.2
6.07,1.77,10.0,6.2
6.08,1.78,10.0,6.2
6.09,1.79,10.0,6.2
6.1,1.8,10.0,6.2
6.11,1.81,10.0,6.2
6.12,1.82,10.0,6.2
6.13,1.83,10.0,6.2
6.14,1.84,10.0,6.2
6.15,1.85,10.0,6.2
6.16,1.86,10.0,6.2
